name, lat, lon, morning, lunch, afternoon, evening, night
Kerckhoff Coffee House,34.070548,-118.443600,10,15,5,3,
Bruin Cafe,34.072200,-118.450100,,10,6,3,
Music Cafe (Ostin),34.070100,-118.440600,10,12,5,3,
Cafe Synapse,34.064800,-118.442600,10,20,10,3,
Anderson Cafe,34.069000,-118.445000,10,10,5,2,
Espresso Profeta,34.060268,-118.444206,3,7,5,,
Cafe Elysee,34.060277,-118.446952,4,10,8,5,
Ministry of Coffee,34.058100,-118.441700,3,,9,6,
Bluestone Lane,34.059000,-118.438700,3,5,7,4,
Just Boba Tea House,34.062500,-118.445000,,8,8,6,5
Starbucks (Ackerman),34.070400,-118.445300,5,6,5,3,
Starbucks (Westwood),34.059900,-118.442600,4,10,4,2,
Coffee Bean & Tea Leaf,34.059700,-118.447300,3,5,3,3,
Philz Coffee,34.062000,-118.447000,2,5,5,4,
Paris Baguette,34.059500,-118.439800,5,5,5,5,
Panera Bread,34.059300,-118.441300,5,5,4,2,
Sharetea,34.060000,-118.445500,5,5,5,3
It's Boba Time,34.058500,-118.442900,5,5,4,4,3
Boba Guys,34.062800,-118.446000,6,6,5,5,3
Lollicup Fresh,34.070300,-118.445400,5,5,2,,
Meet Fresh,34.061000,-118.444000,8,8,5,5,3
Junbi,34.062200,-118.445700,5,5,4,4,3
Northern Lights Cafe,34.073600,-118.440300,5,10,4,,
SEAS Cafe,34.069200,-118.443900,2,10,3,,
Bruin Buzz,34.070500,-118.445200,1,5,,, 
Jimmy's Coffeehouse (SAC),34.068900,-118.442300,3,8,5,,
Southern Lights Cafe,34.068000,-118.442500,4,5,5,,
Stage Canteen,34.074100,-118.439500,2,5,,,
ScrubJay Cafe,34.065500,-118.444500,1,7,,,
Hedrick Study,34.074800,-118.452300,,,2,5
Cafe 451,34.075000,-118.440700,2,6,4,2,
Hammer Museum Cafe,34.059500,-118.443800,,5,5,5,
Jimmy's Coffeehouse (LuValle),34.073100,-118.441000,2,5,,, 
